"46";"mi become open stay secret work tech company count";"0.31615";"0.00040";"0.39209";"0.00040";"0.06835";"0.15627";"0.00040";"0.00040";"0.05236";"0.01239";"0.00040";"0.00040"
"47";"german police arrested british man worked british ";"0.00040";"0.00843";"0.43379";"0.00040";"0.00040";"0.00040";"0.00040";"0.53411";"0.00040";"0.00040";"0.02047";"0.00040"
"48";"kremlin war independent journalism russia ha escal";"0.00030";"0.00030";"0.17579";"0.00030";"0.00030";"0.08061";"0.03302";"0.66359";"0.00030";"0.04491";"0.00030";"0.00030"
"49";"bbcs moscow correspondent ha used final dispatch e";"0.00034";"0.06173";"0.06514";"0.00034";"0.00034";"0.10266";"0.00375";"0.75750";"0.00034";"0.00034";"0.00716";"0.00034"
"50";"world energy watchdog ha called russia send gas eu";"0.32321";"0.02344";"0.00038";"0.00038";"0.12721";"0.00038";"0.52306";"0.00038";"0.00038";"0.00038";"0.00038";"0.00038"
"51";"vladimir putin old fashioned sort guy yearns day s";"0.60624";"0.00026";"0.00026";"0.04748";"0.00813";"0.14192";"0.00026";"0.18652";"0.00026";"0.00026";"0.00813";"0.00026"
"52";"majority european believe new cold war way chief g";"0.84706";"0.00038";"0.01945";"0.00038";"0.00038";"0.08047";"0.00801";"0.00038";"0.04233";"0.00038";"0.00038";"0.00038"
"53";"right thats stick around site report reaction than";"0.00007";"0.00007";"0.00079";"0.22051";"0.00007";"0.03013";"0.00007";"0.00007";"0.00007";"0.00079";"0.74656";"0.00079"
"54";"russia prosecutor ha suspended activity alexei nav";"0.00035";"0.00035";"0.04944";"0.00386";"0.00736";"0.01087";"0.00035";"0.87342";"0.00035";"0.05295";"0.00035";"0.00035"
"55";"right thats thanks much company comment apology di";"0.00004";"0.00656";"0.00185";"0.29769";"0.00838";"0.03013";"0.00004";"0.00040";"0.00004";"0.00004";"0.62581";"0.02904"
"56";"iran turkey pakistan russia moved fill military di";"0.49096";"0.00026";"0.00026";"0.00026";"0.00026";"0.02867";"0.00026";"0.47546";"0.00026";"0.00284";"0.00026";"0.00026"
"57";"uk ha recorded new coronavirus case death last hou";"0.00003";"0.07341";"0.00916";"0.03004";"0.00003";"0.00427";"0.00003";"0.00003";"0.88288";"0.00003";"0.00003";"0.00003"
"58";"thats tonight blog thanks company email surreal di";"0.00005";"0.02473";"0.00005";"0.31225";"0.00059";"0.00005";"0.00005";"0.00005";"0.00005";"0.00005";"0.66200";"0.00005"
"59";"roc let face retro cold war touch dripping away ba";"0.06582";"0.00345";"0.12328";"0.17745";"0.00016";"0.33831";"0.00016";"0.01330";"0.00181";"0.00345";"0.27265";"0.00016"
"60";"second time year russia ha amassed force near bord";"0.74856";"0.00026";"0.00026";"0.00288";"0.00026";"0.00026";"0.00026";"0.23836";"0.00026";"0.00026";"0.00811";"0.00026"
"61";"thats done today evening summary today event legit";"0.05848";"0.09589";"0.02909";"0.10357";"0.60220";"0.02107";"0.00671";"0.01606";"0.00137";"0.06483";"0.00003";"0.00070"
"62";"title nod robert bresson high concept script doffs";"0.00030";"0.00626";"0.00030";"0.34039";"0.00030";"0.38514";"0.01820";"0.09576";"0.00328";"0.00030";"0.00030";"0.14946"
"63";"high drama heartbreak russian grand prix appropria";"0.02297";"0.01883";"0.00021";"0.84044";"0.00021";"0.00228";"0.00021";"0.00228";"0.00228";"0.01055";"0.09954";"0.00021"
"64";"putting russia right tractor byelorussia boris tik";"0.03326";"0.05270";"0.02742";"0.02159";"0.00408";"0.61669";"0.15383";"0.07604";"0.01186";"0.00019";"0.00019";"0.00214"
"65";"russia china presented plan build joint internatio";"0.71515";"0.00086";"0.00086";"0.17298";"0.00086";"0.00086";"0.00086";"0.00947";"0.06971";"0.02668";"0.00086";"0.00086"
"66";"uk reported death saturday people tested positive ";"0.00680";"0.05868";"0.01921";"0.00117";"0.00004";"0.02598";"0.00004";"0.01357";"0.87441";"0.00004";"0.00004";"0.00004"
"67";"british national accused selling secret russia ext";"0.01014";"0.00048";"0.48793";"0.00048";"0.00048";"0.00048";"0.00048";"0.44450";"0.05357";"0.00048";"0.00048";"0.00048"
"68";"russian government ha officially deemed united sta";"0.15483";"0.00067";"0.02748";"0.00067";"0.00067";"0.00067";"0.00067";"0.67091";"0.03418";"0.10791";"0.00067";"0.00067"
"69";"russia state gas company ha reported record earnin";"0.00038";"0.00038";"0.04563";"0.00038";"0.18891";"0.00038";"0.75830";"0.00038";"0.00415";"0.00038";"0.00038";"0.00038"
"70";"feeling disbelief denmark tuesday morning really h";"0.00028";"0.00309";"0.01713";"0.31190";"0.00028";"0.00309";"0.00028";"0.13784";"0.07047";"0.00028";"0.45508";"0.00028"
"71";"thats samantha lock today blog meantime follow alo";"0.00003";"0.01422";"0.04131";"0.01229";"0.00422";"0.00100";"0.00003";"0.00132";"0.90420";"0.00003";"0.02131";"0.00003"
"72";"russia ha retaliated ban carrier entering belarus ";"0.12820";"0.00022";"0.10834";"0.00022";"0.00022";"0.00022";"0.00243";"0.75265";"0.00243";"0.00463";"0.00022";"0.00022"
"73";"new wave sanction restrictive measure belarus avia";"0.21563";"0.00028";"0.00028";"0.08034";"0.00028";"0.02236";"0.00028";"0.67946";"0.00028";"0.00028";"0.00028";"0.00028"
"74";"work russia way combat climate crisis president jo";"0.26029";"0.00019";"0.01184";"0.00019";"0.61161";"0.00019";"0.03125";"0.00019";"0.01766";"0.05648";"0.00990";"0.00019"
"75";"argentina gamble sputnik v vaccine ha left critica";"0.00031";"0.00031";"0.12293";"0.00031";"0.00031";"0.00031";"0.03709";"0.15665";"0.68087";"0.00031";"0.00031";"0.00031"
"76";"world leader gathering g summit cornwall week look";"0.62474";"0.00017";"0.17051";"0.00189";"0.13266";"0.00017";"0.00017";"0.00017";"0.06900";"0.00017";"0.00017";"0.00017"
"77";"fear growing berlin russian led cyber campaign lea";"0.37416";"0.00018";"0.15438";"0.00018";"0.01613";"0.10298";"0.00018";"0.32453";"0.01967";"0.00018";"0.00727";"0.00018"
"78";"mcgahn former white house counsel donald trump she";"0.00612";"0.03234";"0.00321";"0.00029";"0.00029";"0.00029";"0.00029";"0.00029";"0.01195";"0.94435";"0.00029";"0.00029"
"79";"jonathan steele moved moscow guardian story mikhai";"0.08051";"0.00014";"0.02129";"0.21447";"0.00014";"0.46122";"0.02129";"0.19050";"0.00719";"0.00014";"0.00014";"0.00296"
"80";"one respect punitive measure imposed russia last w";"0.61411";"0.00026";"0.00026";"0.08158";"0.00026";"0.06060";"0.00026";"0.18127";"0.00026";"0.06060";"0.00026";"0.00026"
"81";"nato secretary general ha called russia halt milit";"0.44070";"0.00019";"0.00019";"0.00019";"0.00019";"0.00019";"0.00019";"0.55553";"0.00019";"0.00019";"0.00207";"0.00019"
"82";"dmitry davydov self taught russian director remote";"0.00060";"0.00060";"0.00060";"0.27572";"0.02452";"0.52093";"0.00060";"0.00060";"0.00060";"0.00060";"0.00060";"0.17404"
"83";"russia unexplained buildup along ukraine border se";"0.46628";"0.00417";"0.00020";"0.08747";"0.00020";"0.00020";"0.08747";"0.35323";"0.00020";"0.00020";"0.00020";"0.00020"
"84";"britain unexpectedly embroiled diplomatic military";"0.22520";"0.00026";"0.00026";"0.00281";"0.00281";"0.00026";"0.00026";"0.76713";"0.00026";"0.00026";"0.00026";"0.00026"
